CPT,Total_Amount,Probability
92555,204.0,0.08695652173913043
92555,530.0,0.06521739130434782
92555,0.0,0.5434782608695652
92555,115.48,0.10869565217391304
92555,156.0,0.08695652173913043
92555,194.25,0.10869565217391304
90715Rx,1.6,0.007022471910112359
90715Rx,2.87,0.0028089887640449437
90715Rx,0.0,0.8679775280898876
90715Rx,-19.3,0.0056179775280898875
90715Rx,29.89,0.004213483146067416
90715Rx,0.46,0.0028089887640449437
90715Rx,5.0,0.0056179775280898875
90715Rx,5.2,0.007022471910112359
90715Rx,3.88,0.004213483146067416
90715Rx,56.98,0.004213483146067416
90715Rx,1.74,0.007022471910112359
90715Rx,1.71,0.0028089887640449437
90715Rx,9.5,0.007022471910112359
90715Rx,116.52,0.008426966292134831
90715Rx,6.56,0.004213483146067416
90715Rx,7.48,0.0014044943820224719
90715Rx,6.76,0.007022471910112359
90715Rx,8.3,0.0028089887640449437
90715Rx,106.36,0.0056179775280898875
90715Rx,544.95,0.007022471910112359
90715Rx,10.1,0.007022471910112359
90715Rx,100.0,0.007022471910112359
90715Rx,1.01,0.0028089887640449437
90715Rx,16.25,0.0028089887640449437
90715Rx,2.48,0.0014044943820224719
90715Rx,2.67,0.007022471910112359
90715Rx,33.92,0.0014044943820224719
90715Rx,104.51,0.0014044943820224719
90715Rx,86.6,0.004213483146067416
2300059,803.35,1.0
D2150Rx,6.91,0.013793103448275862
D2150Rx,19.7,0.027586206896551724
D2150Rx,0.0,0.8068965517241379
D2150Rx,9.13,0.013793103448275862
D2150Rx,-0.3,0.1103448275862069
D2150Rx,9.7,0.013793103448275862
D2150Rx,15.16,0.013793103448275862
669840Rx,0.0,1.0
S1016,28.0,0.5
S1016,25.15,0.5
598200,0.0,1.0
S1015,0.0,0.6086956521739131
S1015,45.2,0.17391304347826086
S1015,701.89,0.043478260869565216
S1015,36.2,0.17391304347826086
SPV,0.0,1.0
D6740,0.0,1.0
9939225,0.0,1.0
644830,1363.2,0.5
644830,130.76,0.5
00851,340.96,0.22727272727272727
00851,0.0,0.7727272727272727
A7031NU,168.71,0.5
A7031NU,7.89,0.5
25065,0.0,1.0
83894,0.0,1.0
U470,0.0,1.0
