From_CPT,To_CPT,Probability
2300059,01630AA,1.0
S1016,96413,1.0
598200,END_STATE,0.8
598200,019654,0.2
S1015,A4615,0.2631578947368421
S1015,J2250,0.21052631578947367
S1015,A4351,0.15789473684210525
S1015,J3490,0.10526315789473684
S1015,END_STATE,0.05263157894736842
S1015,96361,0.15789473684210525
S1015,88305,0.05263157894736842
SPV,END_STATE,0.5555555555555556
SPV,70000,0.3333333333333333
SPV,80000,0.1111111111111111
D6740,D6740,0.5
D6740,D7250,0.5
9939225,END_STATE,0.6666666666666666
9939225,9046059,0.1111111111111111
9939225,96110,0.2222222222222222
644830,644840,1.0
00851,END_STATE,0.8235294117647058
00851,00851,0.17647058823529413
A7031NU,A7035NU,0.5
A7031NU,99211,0.5
25065,22900,0.5
25065,25065,0.5
83894,85301,0.23529411764705882
83894,83904,0.17647058823529413
83894,83892,0.058823529411764705
83894,83890,0.23529411764705882
83894,83897,0.058823529411764705
83894,83898,0.23529411764705882
U470,END_STATE,1.0
J8540,END_STATE,0.5
J8540,99284,0.5
00912K,END_STATE,1.0
74010,END_STATE,0.2857142857142857
74010,81001,0.2857142857142857
74010,71020,0.42857142857142855
27370,END_STATE,1.0
U511,END_STATE,0.782608695652174
U511,U250,0.043478260869565216
U511,82205,0.17391304347826086
U510,99212,0.004545454545454545
U510,99213,0.022727272727272728
U510,U402,0.004545454545454545
U510,U636,0.04090909090909091
U510,Rx,0.022727272727272728
U510,99203,0.004545454545454545
U510,87086,0.013636363636363636
U510,END_STATE,0.5818181818181818
U510,88305,0.022727272727272728
U510,73590,0.01818181818181818
U510,82570,0.01818181818181818
U510,92015,0.022727272727272728
U510,81002,0.00909090909090909
U510,93325,0.01818181818181818
U510,84154,0.004545454545454545
U510,U250,0.01818181818181818
U510,U270,0.004545454545454545
U510,82565,0.004545454545454545
U510,76830,0.004545454545454545
U510,86923,0.01818181818181818
U510,73610,0.022727272727272728
U510,85652,0.013636363636363636
U510,93005,0.05909090909090909
U510,U510,0.045454545454545456
97150,97012,0.4778625954198473
97150,92508,0.05648854961832061
97150,97140,0.0030534351145038168
97150,98941,0.05343511450381679
97150,98940,0.05801526717557252
97150,98942,0.012213740458015267
97150,97022,0.004580152671755725
97150,97112,0.012213740458015267
97150,97150,0.1801526717557252
97150,END_STATE,0.11755725190839694
97150,97110,0.024427480916030534
U515,END_STATE,1.0
U514,END_STATE,1.0
U516,U983,1.0
99999,99999,0.5435168738898757
99999,88342,0.0053285968028419185
99999,J7030,0.008880994671403197
99999,J7050,0.003552397868561279
99999,J2270,0.0053285968028419185
99999,85730,0.007104795737122558
99999,J2405,0.023090586145648313
99999,84075,0.003552397868561279
99999,J0690,0.015985790408525755
99999,85610,0.007104795737122558
99999,J3490,0.015985790408525755
99999,END_STATE,0.16341030195381884
99999,88305,0.007104795737122558
99999,96375,0.003552397868561279
99999,V2520,0.0017761989342806395
99999,80061,0.0053285968028419185
99999,93306,0.0053285968028419185
99999,99231,0.0017761989342806395
99999,96415,0.0053285968028419185
99999,J1100,0.007104795737122558
99999,82565,0.003552397868561279
99999,84157,0.0053285968028419185
99999,36415,0.0053285968028419185
99999,U250,0.0017761989342806395
99999,J1885,0.0053285968028419185
99999,54161,0.0053285968028419185
99999,73590,0.015985790408525755
99999,70450,0.003552397868561279
99999,76770,0.0053285968028419185
99999,J2710,0.0017761989342806395
99999,J3010,0.015985790408525755
99999,82040,0.008880994671403197
99999,J1720,0.003552397868561279
99999,85025,0.008880994671403197
99999,69436,0.003552397868561279
99999,96367,0.007104795737122558
99999,99283,0.023090586145648313
99999,99284,0.003552397868561279
99999,12001,0.003552397868561279
99999,J2001,0.007104795737122558
99999,J7120,0.0017761989342806395
99999,J2250,0.0053285968028419185
99999,85651,0.0017761989342806395
99999,93005,0.003552397868561279
99999,96402,0.0053285968028419185
99999,J2765,0.0017761989342806395
99999,90801,0.0017761989342806395
298060,END_STATE,1.0
99991,END_STATE,1.0
270,99239,0.010752688172043012
270,450,0.043010752688172046
270,312,0.043010752688172046
270,271,0.043010752688172046
270,272,0.12903225806451613
270,259,0.021505376344086023
270,91065,0.010752688172043012
270,276,0.053763440860215055
270,278,0.010752688172043012
270,250,0.08602150537634409
270,320,0.03225806451612903
270,360,0.0967741935483871
270,750,0.010752688172043012
270,636,0.03225806451612903
270,300,0.043010752688172046
270,301,0.043010752688172046
270,302,0.010752688172043012
270,305,0.021505376344086023
270,307,0.03225806451612903
270,120,0.043010752688172046
270,480,0.021505376344086023
270,END_STATE,0.010752688172043012
270,99281,0.03225806451612903
270,258,0.11827956989247312
271,450,0.23076923076923078
271,300,0.3076923076923077
271,305,0.23076923076923078
271,636,0.23076923076923078
272,636,0.03636363636363636
272,300,0.10909090909090909
272,301,0.10909090909090909
272,305,0.01818181818181818
272,306,0.09090909090909091
272,710,0.03636363636363636
272,270,0.05454545454545454
272,450,0.01818181818181818
272,320,0.07272727272727272
272,352,0.10909090909090909
272,351,0.01818181818181818
272,END_STATE,0.05454545454545454
272,370,0.07272727272727272
272,250,0.05454545454545454
272,482,0.03636363636363636
272,481,0.07272727272727272
272,402,0.03636363636363636
274,320,1.0
276,250,1.0
278,300,0.125
278,272,0.125
278,460,0.125
278,360,0.5
278,424,0.125
A7003NU,A7004NU,1.0
12015,70450,0.4
12015,12002,0.3
12015,99284,0.3
12014,END_STATE,1.0
Y8010,Y2500,0.3333333333333333
Y8010,Y2780,0.3333333333333333
Y8010,Y6360,0.16666666666666666
Y8010,Y4830,0.16666666666666666
12011,99203,0.0335195530726257
12011,99202,0.027932960893854747
12011,99204,0.0223463687150838
12011,99214,0.00558659217877095
12011,99283,0.1340782122905028
12011,99282,0.11173184357541899
12011,99284,0.061452513966480445
12011,94760,0.0111731843575419
12011,J2001,0.0111731843575419
12011,END_STATE,0.40782122905027934
12011,S9088,0.0111731843575419
12011,93005,0.0223463687150838
12011,72125,0.0223463687150838
12011,J1170,0.01675977653631285
12011,A4550,0.0446927374301676
12011,93010,0.01675977653631285
12011,~,0.03910614525139665
12013,END_STATE,0.8518518518518519
12013,Y2500,0.037037037037037035
12013,99285,0.037037037037037035
12013,93010,0.037037037037037035
12013,9928325,0.037037037037037035
17250,END_STATE,0.6
17250,17250,0.1
17250,11000,0.04
17250,99212,0.08
17250,99213,0.18
49568,END_STATE,0.5714285714285714
49568,00865,0.07142857142857142
49568,Y2500,0.07142857142857142
49568,Rx,0.07142857142857142
49568,49560,0.21428571428571427
49565,49568,0.5
49565,43644,0.5
49561,END_STATE,0.5
49561,44143,0.25
49561,49568,0.25
49560,END_STATE,0.42105263157894735
49560,44955,0.21052631578947367
49560,49419,0.15789473684210525
49560,49568,0.21052631578947367
84120,82941,1.0
84126,85025,1.0
86702,86689,1.0
64450,00840,0.051094890510948905
64450,97530,0.0072992700729927005
64450,99214,0.051094890510948905
64450,99144,0.029197080291970802
64450,7694259,0.014598540145985401
64450,END_STATE,0.2773722627737226
64450,88305,0.0072992700729927005
64450,99354,0.021897810218978103
64450,01470,0.029197080291970802
64450,76942,0.058394160583941604
64450,64445,0.021897810218978103
64450,J1020,0.06569343065693431
64450,90471,0.029197080291970802
64450,26055,0.021897810218978103
64450,01480,0.0072992700729927005
64450,99202,0.0072992700729927005
64450,00830,0.014598540145985401
64450,54161,0.014598540145985401
64450,23410,0.029197080291970802
64450,54322,0.029197080291970802
64450,4250F,0.021897810218978103
64450,01400,0.072992700729927
64450,S0020,0.029197080291970802
64450,64450,0.043795620437956206
64450,20550,0.043795620437956206
G0383,87880,1.0
G0382,END_STATE,0.6666666666666666
G0382,99283,0.3333333333333333
64455,20600,0.057692307692307696
64455,99203,0.038461538461538464
64455,99202,0.019230769230769232
64455,Rx,0.019230769230769232
64455,J0702,0.11538461538461539
64455,J3301,0.019230769230769232
64455,01630,0.019230769230769232
64455,64455,0.057692307692307696
64455,END_STATE,0.2692307692307692
64455,J1100,0.19230769230769232
64455,73630,0.11538461538461539
64455,20550,0.07692307692307693
45110,END_STATE,1.0
85613,86148,0.14285714285714285
85613,85025,0.17857142857142858
85613,85730,0.07142857142857142
85613,88175,0.03571428571428571
85613,85303,0.10714285714285714
85613,85732,0.25
85613,END_STATE,0.14285714285714285
85613,85260,0.07142857142857142
85612,83898,1.0
85610,83036,0.004768392370572207
85610,Rx,0.008174386920980926
85610,J2405,0.0027247956403269754
85610,00410,0.0006811989100817438
85610,85610,0.009536784741144414
85610,END_STATE,0.3692098092643052
85610,85303,0.0006811989100817438
85610,83735,0.009536784741144414
85610,81003,0.0027247956403269754
85610,81001,0.006811989100817439
85610,84153,0.0020435967302452314
85610,93010,0.0006811989100817438
85610,84305,0.0034059945504087193
85610,A7031NU,0.0006811989100817438
85610,U272,0.0027247956403269754
85610,84436,0.0020435967302452314
85610,30901,0.0013623978201634877
85610,96152,0.0006811989100817438
85610,82270,0.0006811989100817438
85610,85651,0.0027247956403269754
85610,81241,0.0034059945504087193
85610,U510,0.0006811989100817438
85610,84520,0.004768392370572207
85610,71010,0.004768392370572207
85610,85730,0.0388283378746594
85610,88305,0.0006811989100817438
85610,84132,0.0013623978201634877
85610,97140,0.0006811989100817438
85610,80048,0.014986376021798364
85610,81025,0.0034059945504087193
85610,84450,0.0034059945504087193
85610,86039,0.005449591280653951
85610,80053,0.017711171662125342
85610,80050,0.0006811989100817438
85610,80051,0.0013623978201634877
85610,85025,0.02861035422343324
85610,92134,0.0006811989100817438
85610,85027,0.020435967302452316
85610,87522,0.0013623978201634877
85610,86140,0.004087193460490463
85610,86141,0.0013623978201634877
85610,99285,0.0020435967302452314
85610,~,0.008174386920980926
85610,83880,0.0020435967302452314
85610,82248,0.0013623978201634877
85610,86900,0.0027247956403269754
85610,86901,0.004087193460490463
85610,99212,0.03814713896457766
85610,99213,0.008855585831062671
85610,99211,0.08719346049046321
85610,99214,0.0027247956403269754
85610,87081,0.0013623978201634877
