From_CPT,To_CPT,Probability
2300059,2313059,1.0
S1016,85025,0.5
S1016,96413,0.5
598200,Rx,0.3333333333333333
598200,019654,0.3333333333333333
598200,OPS,0.3333333333333333
S1015,A4246,0.125
S1015,87077,0.125
S1015,9921225,0.125
S1015,99214,0.125
S1015,J3010,0.125
S1015,87804,0.125
S1015,A4216,0.125
S1015,A6216,0.125
SPV,768218,0.125
SPV,SPV,0.125
SPV,Rx,0.375
SPV,80000,0.25
SPV,93010,0.125
9939225,96110,0.2
9939225,90716,0.2
9939225,90471,0.2
9939225,7102026,0.2
9939225,90696,0.2
644830,644840,0.5
644830,99212,0.5
00851,Y2500,0.16666666666666666
00851,Rx,0.16666666666666666
00851,58670,0.16666666666666666
00851,730,0.16666666666666666
00851,58301,0.16666666666666666
00851,86901,0.16666666666666666
A7031NU,A7030NU,0.5
A7031NU,0636,0.5
25065,22900,0.5
25065,99213,0.5
83894,80053,0.16666666666666666
83894,99203,0.16666666666666666
83894,83901,0.16666666666666666
83894,83912,0.16666666666666666
83894,E0601R,0.16666666666666666
83894,36415,0.16666666666666666
U470,U771,1.0
J8540,J9000,0.2
J8540,96523,0.2
J8540,Rx,0.2
J8540,99284,0.2
J8540,Q0162,0.2
00912K,Rx,1.0
74010,76770,0.25
74010,81001,0.25
74010,Rx,0.25
74010,71020,0.25
27370,A9579,1.0
U511,99213,0.42857142857142855
U511,Rx,0.2857142857142857
U511,82205,0.14285714285714285
U511,U272,0.14285714285714285
U510,99212,0.02654867256637168
U510,99213,0.13274336283185842
U510,99211,0.008849557522123894
U510,86696,0.008849557522123894
U510,99214,0.04424778761061947
U510,U260,0.008849557522123894
U510,73564,0.008849557522123894
U510,U636,0.02654867256637168
U510,Rx,0.19469026548672566
U510,99203,0.017699115044247787
U510,73562,0.008849557522123894
U510,90806,0.008849557522123894
U510,57455,0.008849557522123894
U510,93005,0.017699115044247787
U510,90801,0.008849557522123894
U510,73030,0.017699115044247787
U510,88305,0.017699115044247787
U510,73590,0.008849557522123894
U510,76770,0.008849557522123894
U510,80069,0.008849557522123894
U510,87880,0.008849557522123894
U510,80061,0.008849557522123894
U510,92015,0.008849557522123894
U510,92014,0.017699115044247787
U510,81002,0.008849557522123894
U510,81001,0.008849557522123894
U510,93321,0.008849557522123894
U510,36415,0.008849557522123894
U510,84154,0.008849557522123894
U510,U250,0.02654867256637168
U510,99202,0.017699115044247787
U510,99204,0.008849557522123894
U510,E0601,0.008849557522123894
U510,U450,0.008849557522123894
U510,84450,0.008849557522123894
U510,71020,0.017699115044247787
U510,86850,0.008849557522123894
U510,73630,0.02654867256637168
U510,87086,0.008849557522123894
U510,99244,0.02654867256637168
U510,99241,0.008849557522123894
U510,99243,0.008849557522123894
U510,82306,0.008849557522123894
U510,86923,0.008849557522123894
U510,J7325,0.008849557522123894
U510,85027,0.008849557522123894
U510,87501,0.008849557522123894
U510,93000,0.008849557522123894
U510,U730,0.008849557522123894
U510,U771,0.008849557522123894
U510,U510,0.04424778761061947
U510,84295,0.008849557522123894
U510,99283,0.008849557522123894
97150,97012,0.22413793103448276
97150,Y4210,0.005747126436781609
97150,99203,0.005747126436781609
97150,99211,0.005747126436781609
97150,97140,0.028735632183908046
97150,97530,0.005747126436781609
97150,99214,0.005747126436781609
97150,99213,0.005747126436781609
97150,98941,0.16091954022988506
97150,98940,0.04597701149425287
97150,97799,0.005747126436781609
97150,97022,0.011494252873563218
97150,97112,0.034482758620689655
97150,72100,0.011494252873563218
97150,99395,0.005747126436781609
97150,92508,0.04597701149425287
97150,Y3050,0.005747126436781609
97150,97150,0.3390804597701149
97150,97110,0.034482758620689655
97150,90710,0.005747126436781609
97150,90461,0.005747126436781609
U515,16020,0.5
U515,77072,0.5
U514,99213,0.3333333333333333
U514,88175,0.3333333333333333
U514,Rx,0.3333333333333333
U516,U983,0.3333333333333333
U516,Rx,0.6666666666666666
99999,00840,0.0037593984962406013
99999,J7030,0.0037593984962406013
99999,Rx,0.011278195488721804
99999,E0114,0.0037593984962406013
99999,J2405,0.015037593984962405
99999,99253,0.0037593984962406013
99999,96374,0.0037593984962406013
99999,76770,0.0037593984962406013
99999,98940,0.0037593984962406013
99999,41899,0.0037593984962406013
99999,92014,0.0037593984962406013
99999,28103,0.0037593984962406013
99999,84157,0.0037593984962406013
99999,93010,0.0037593984962406013
99999,J1885,0.007518796992481203
99999,J1720,0.007518796992481203
99999,J3010,0.0037593984962406013
99999,99070,0.0037593984962406013
99999,29125,0.0037593984962406013
99999,J2250,0.015037593984962405
99999,J7120,0.007518796992481203
99999,92004,0.0037593984962406013
99999,J2765,0.0037593984962406013
99999,99999,0.4473684210526316
99999,97530,0.0037593984962406013
99999,84520,0.0037593984962406013
99999,84443,0.0037593984962406013
99999,99203,0.0037593984962406013
99999,J0690,0.011278195488721804
99999,J3490,0.011278195488721804
99999,88307,0.0037593984962406013
99999,88304,0.0037593984962406013
99999,88305,0.0037593984962406013
99999,97140,0.0037593984962406013
99999,L4360,0.0037593984962406013
99999,J1100,0.0037593984962406013
99999,96413,0.0037593984962406013
99999,97001,0.0037593984962406013
99999,U250,0.0037593984962406013
99999,99202,0.0037593984962406013
99999,99204,0.007518796992481203
99999,70544,0.0037593984962406013
99999,84295,0.0037593984962406013
99999,80053,0.007518796992481203
99999,85025,0.0037593984962406013
99999,99283,0.018796992481203006
99999,91035,0.0037593984962406013
99999,99285,0.0037593984962406013
99999,A0427,0.0037593984962406013
99999,A0425,0.0037593984962406013
99999,82247,0.007518796992481203
99999,J1745,0.0037593984962406013
99999,99212,0.0037593984962406013
99999,99213,0.007518796992481203
99999,99214,0.007518796992481203
99999,43239,0.0037593984962406013
99999,74220,0.0037593984962406013
99999,82310,0.0037593984962406013
99999,J0131,0.0037593984962406013
99999,82728,0.0037593984962406013
99999,71020,0.0037593984962406013
99999,J7609,0.0037593984962406013
99999,36620,0.0037593984962406013
99999,99232,0.0037593984962406013
99999,25630,0.0037593984962406013
99999,82947,0.0037593984962406013
99999,54161,0.007518796992481203
99999,99222,0.0037593984962406013
99999,V2103,0.0037593984962406013
99999,97110,0.0037593984962406013
99999,55866,0.0037593984962406013
99999,19102,0.0037593984962406013
99999,19103,0.0037593984962406013
99999,62270,0.007518796992481203
99999,09935,0.04887218045112782
99999,45378,0.0037593984962406013
99999,29824,0.0037593984962406013
99999,70553,0.0037593984962406013
99999,76700,0.0037593984962406013
99999,29881,0.007518796992481203
99999,99231,0.0037593984962406013
99999,J2270,0.007518796992481203
99999,00944,0.0037593984962406013
99999,99284,0.007518796992481203
99999,12001,0.007518796992481203
99999,84075,0.0037593984962406013
99999,J7060,0.011278195488721804
99999,82374,0.0037593984962406013
99999,00170,0.0037593984962406013
99999,36415,0.015037593984962405
99999,29875,0.0037593984962406013
99999,99243,0.0037593984962406013
99999,82040,0.0037593984962406013
99999,82565,0.015037593984962405
99999,01400,0.0037593984962406013
99999,38571,0.0037593984962406013
99999,C1729,0.0037593984962406013
99999,96367,0.0037593984962406013
298060,017404,1.0
270,99238,0.013157894736842105
270,99214,0.013157894736842105
270,450,0.039473684210526314
270,312,0.02631578947368421
270,73130,0.013157894736842105
270,Rx,0.05263157894736842
270,270,0.05263157894736842
270,271,0.02631578947368421
270,258,0.02631578947368421
270,259,0.013157894736842105
270,278,0.02631578947368421
270,250,0.05263157894736842
270,730,0.013157894736842105
270,E0730,0.013157894736842105
270,324,0.013157894736842105
270,90471,0.013157894736842105
270,360,0.039473684210526314
270,01480,0.013157894736842105
270,750,0.02631578947368421
270,636,0.06578947368421052
270,300,0.05263157894736842
270,301,0.07894736842105263
