Previous,Current,HighestNext,GoldAmount,ExpectedAmount,HighestProbAmount,HighestAmount,LowestAmount,IsSame
START_STATE,Under60_MI198,Under60_MI227,1817.46,70.01195804195802,0.0,740.65,-145.0,False
Under60_MI198,Under60_MI198,Under60_MI227,98.45,34.364082278481014,0.0,231.32,0.0,False
Under60_MI198,Under60_MI227,Under60_MI227,76.53,34.364082278481014,0.0,231.32,0.0,True
Under60_MI227,Under60_MI227,Under60_MI227,165.72,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI233,Under60_MI227,504.77,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI233,Under60_MI200,Under60_MI233,504.77,76.15642889647324,0.0,2982.3,-137.28,False
Under60_MI200,Under60_MI231,Under60_MI227,504.77,35.91293513166345,0.0,850.01,0.0,False
Under60_MI231,Under60_MI240,Under60_MI227,504.77,61.23449904030709,0.0,1012.16,0.0,False
Under60_MI240,Under60_MI240,Under60_MI227,504.77,59.73924876847292,0.0,1012.16,0.0,False
Under60_MI240,Under60_MI231,Under60_MI227,504.77,59.73924876847292,0.0,1012.16,0.0,False
Under60_MI231,Under60_MI227,Under60_MI227,504.77,61.23449904030709,0.0,1012.16,0.0,True
Under60_MI227,Under60_MI197,Under60_MI227,835.58,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI197,Under60_MI200,Under60_MI227,835.58,65.32232608695654,0.0,1058.54,0.0,False
Under60_MI200,Under60_MI196,Under60_MI227,835.58,35.91293513166345,0.0,850.01,0.0,False
Under60_MI196,Under60_MI231,Under60_MI227,835.58,50.901095890410964,0.0,448.76,0.0,False
Under60_MI231,Under60_MI231,Under60_MI227,835.58,61.23449904030709,0.0,1012.16,0.0,False
Under60_MI231,Under60_MI240,Under60_MI227,835.58,61.23449904030709,0.0,1012.16,0.0,False
Under60_MI240,Under60_MI233,Under60_MI227,835.58,59.73924876847292,0.0,1012.16,0.0,False
Under60_MI233,Under60_MI227,Under60_MI233,835.58,76.15642889647324,0.0,2982.3,-137.28,False
Under60_MI227,Under60_MI233,Under60_MI227,835.58,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI233,Under60_MI231,Under60_MI233,835.58,76.15642889647324,0.0,2982.3,-137.28,False
Under60_MI231,Under60_MI226,Under60_MI227,36.98,61.23449904030709,0.0,1012.16,0.0,False
Under60_MI226,Under60_MI227,Under60_MI227,125.24,70.5755779376499,0.0,743.71,0.0,True
Under60_MI227,Under60_MI227,Under60_MI227,178.15,53.73738580837051,0.0,1612.42,-145.0,True
Under60_MI227,Under60_MI233,Under60_MI227,619.09,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI233,Under60_MI227,Under60_MI233,619.09,76.15642889647324,0.0,2982.3,-137.28,False
Under60_MI227,Under60_MI233,Under60_MI227,619.09,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI233,Under60_MI231,Under60_MI233,619.09,76.15642889647324,0.0,2982.3,-137.28,False
Under60_MI231,Under60_MI233,Under60_MI227,619.09,61.23449904030709,0.0,1012.16,0.0,False
Under60_MI233,Under60_MI227,Under60_MI233,165.72,76.15642889647324,0.0,2982.3,-137.28,False
Under60_MI227,Under60_MI206,Under60_MI227,4.77,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI206,Under60_MI227,Under60_MI227,76.53,54.9267492566898,0.0,317.77,0.0,True
Under60_MI227,Under60_MI233,Under60_MI227,76.53,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI233,Under60_MI227,Under60_MI233,45.99,76.15642889647324,0.0,2982.3,-137.28,False
Under60_MI227,Under60_MI163,Under60_MI227,156.82,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI163,Under60_MI227,Under60_MI163,156.82,55.55395638098487,0.0,720.0,0.0,False
Under60_MI227,Under60_MI214,Under60_MI227,58.05,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI214,Under60_MI163,Under60_MI163,58.05,50.52207624633435,0.0,408.25,0.0,True
Under60_MI163,Under60_MI163,Under60_MI163,58.05,55.55395638098487,0.0,720.0,0.0,True
Under60_MI163,Under60_MI214,Under60_MI163,58.05,55.55395638098487,0.0,720.0,0.0,False
Under60_MI214,Under60_MI163,Under60_MI163,58.19,50.52207624633435,0.0,408.25,0.0,True
Under60_MI163,Under60_MI214,Under60_MI163,58.19,55.55395638098487,0.0,720.0,0.0,False
Under60_MI214,Under60_MI163,Under60_MI163,42.48,50.52207624633435,0.0,408.25,0.0,True
Under60_MI163,Under60_MI227,Under60_MI163,85.0,55.55395638098487,0.0,720.0,0.0,False
Under60_MI227,Under60_MI163,Under60_MI227,42.48,53.73738580837051,0.0,1612.42,-145.0,False
Under60_MI163,Under60_MI163,Under60_MI163,58.19,55.55395638098487,0.0,720.0,0.0,True
Under60_MI163,Under60_MI214,Under60_MI163,58.19,55.55395638098487,0.0,720.0,0.0,False
