Previous,Current,HighestNext,CurrentProb,HighestProb,IsSame
START_STATE,M_Under60_D2391,M_Under60_227,0.0003937007874015748,0.036955380577427824,False
M_Under60_D2391,M_Under60_D2392,M_Under60_D2391,0.09484777517564402,0.38992974238875877,False
M_Under60_D2392,M_Under60_D2331,M_Under60_D2392,0.011292346298619825,0.2810539523212045,False
M_Under60_D2331,M_Under60_D2330,M_Under60_D2331,0.07643312101910828,0.19745222929936307,False
START_STATE,F_Under60_D0150,M_Under60_227,0.002099737532808399,0.036955380577427824,False
F_Under60_D0150,F_Under60_D0120,F_Under60_D0210,0.011034482758620689,0.12827586206896552,False
F_Under60_D0120,F_Under60_D1120,F_Under60_D1110,0.11164529914529915,0.2548076923076923,False
F_Under60_D1120,F_Under60_D1208,F_Under60_D1208,0.30220588235294116,0.30220588235294116,True
F_Under60_D1208,F_Under60_D0220,F_Under60_D0120,0.050387596899224806,0.262015503875969,False
F_Under60_D0220,F_Under60_D0272,F_Under60_D0230,0.02619515389652914,0.30844793713163066,False
F_Under60_D0272,F_Under60_D0210,F_Under60_D1120,0.008284023668639054,0.21893491124260356,False
F_Under60_D0210,F_Under60_D1120,F_Under60_D0150,0.012089810017271158,0.19861830742659758,False
F_Under60_D1120,F_Under60_D1208,F_Under60_D1208,0.30220588235294116,0.30220588235294116,True
F_Under60_D1208,F_Under60_D0150,F_Under60_D0120,0.02868217054263566,0.262015503875969,False
F_Under60_D0150,F_Under60_D0140,F_Under60_D0210,0.004137931034482759,0.12827586206896552,False
START_STATE,M_Under60_227,M_Under60_227,0.036955380577427824,0.036955380577427824,True
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
START_STATE,F_Under30_214,M_Under60_227,0.00031496062992125983,0.036955380577427824,False
F_Under30_214,F_Under30_163,F_Under30_163,0.34949028659357567,0.34949028659357567,True
F_Under30_163,F_Under30_214,F_Under30_163,0.11862800833807087,0.30977196639504767,False
F_Under30_214,F_Under30_163,F_Under30_163,0.34949028659357567,0.34949028659357567,True
START_STATE,M_Under60_227,M_Under60_227,0.036955380577427824,0.036955380577427824,True
M_Under60_227,M_Under60_226,M_Under60_227Rx,0.03234177705476799,0.24601699072998168,False
M_Under60_226,M_Under60_227,M_Under60_227,0.25107619457597935,0.25107619457597935,True
M_Under60_227,M_Under60_228,M_Under60_227Rx,0.060229297389418235,0.24601699072998168,False
M_Under60_228,M_Under60_227,M_Under60_228,0.1586915096337074,0.5690945020820101,False
M_Under60_227,M_Under60_228,M_Under60_227Rx,0.060229297389418235,0.24601699072998168,False
M_Under60_228,M_Under60_228,M_Under60_228,0.5690945020820101,0.5690945020820101,True
M_Under60_228,M_Under60_227,M_Under60_228,0.1586915096337074,0.5690945020820101,False
M_Under60_227,M_Under60_228,M_Under60_227Rx,0.060229297389418235,0.24601699072998168,False
M_Under60_228,M_Under60_227,M_Under60_228,0.1586915096337074,0.5690945020820101,False
M_Under60_227,M_Under60_226,M_Under60_227Rx,0.03234177705476799,0.24601699072998168,False
M_Under60_226,M_Under60_243,M_Under60_227,0.03971157985363754,0.25107619457597935,False
M_Under60_243,M_Under60_227,M_Under60_243,0.10689533654410902,0.4876071890050511,False
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
M_Under60_227,M_Under60_226,M_Under60_227Rx,0.03234177705476799,0.24601699072998168,False
M_Under60_226,M_Under60_228,M_Under60_227,0.011945759793370642,0.25107619457597935,False
M_Under60_228,M_Under60_231,M_Under60_228,0.009174959418448727,0.5690945020820101,False
M_Under60_231,M_Under60_227,M_Under60_233,0.19569664902998235,0.24465608465608465,False
M_Under60_227,M_Under60_228,M_Under60_227Rx,0.060229297389418235,0.24601699072998168,False
M_Under60_228,M_Under60_227,M_Under60_228,0.1586915096337074,0.5690945020820101,False
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
M_Under60_227,M_Under60_233,M_Under60_227Rx,0.04313528029540114,0.24601699072998168,False
M_Under60_233,M_Under60_206,M_Under60_233,0.026725210020050252,0.4362325829293673,False
M_Under60_206,M_Under60_228,M_Under60_206,0.012733636160548067,0.30121379104922186,False
M_Under60_228,M_Under60_227,M_Under60_228,0.1586915096337074,0.5690945020820101,False
M_Under60_227,M_Under60_231,M_Under60_227Rx,0.03460118263743642,0.24601699072998168,False
M_Under60_231,M_Under60_228,M_Under60_233,0.017072310405643738,0.24465608465608465,False
M_Under60_228,M_Under60_Y3000,M_Under60_228,0.003105370880090338,0.5690945020820101,False
M_Under60_Y3000,M_Under60_Y3000,M_Under60_Y3000,0.6114228168608833,0.6114228168608833,True
M_Under60_Y3000,M_Under60_Y3000,M_Under60_Y3000,0.6114228168608833,0.6114228168608833,True
M_Under60_Y3000,M_Under60_Y3000,M_Under60_Y3000,0.6114228168608833,0.6114228168608833,True
M_Under60_Y3000,M_Under60_Y3000,M_Under60_Y3000,0.6114228168608833,0.6114228168608833,True
START_STATE,M_Under60_227,M_Under60_227,0.036955380577427824,0.036955380577427824,True
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
M_Under60_227,M_Under60_179,M_Under60_227Rx,0.0015493066852583469,0.24601699072998168,False
M_Under60_179,M_Under60_0636,M_Under60_227,0.004329004329004329,0.1673881673881674,False
M_Under60_0636,M_Under60_179,M_Under60_0636,0.011235955056179775,0.23595505617977527,False
M_Under60_179,M_Under60_227,M_Under60_227,0.1673881673881674,0.1673881673881674,True
M_Under60_227,M_Under60_227,M_Under60_227Rx,0.18725953469155887,0.24601699072998168,False
START_STATE,F_Under30_212,M_Under60_227,2.6246719160104988e-05,0.036955380577427824,False
F_Under30_212,F_Under30_97035,F_Under30_213,0.02688953488372093,0.6417151162790697,False
F_Under30_97035,F_Under30_213,F_Under30_213,0.6580916744621141,0.6580916744621141,True
F_Under30_213,F_Under30_213,F_Under30_213,0.628417236773965,0.628417236773965,True
