CPTCode, CcsCode
Q4013,243
Q4012,243
11542,170
11543,170
11540,170
11541,170
11546,170
11547,170
11544,170
11545,170
11548,170
11549,170
19396,174
82443,235
83897,233
82440,233
73625,226
83895,233
73624,226
88395,234
88394,234
88397,234
88396,234
88391,234
88390,234
88393,234
88392,234
88398,234
73623,226
78758,209
G0116,237
L0420,243
73622,226
88023,234
88022,234
88021,234
88020,234
12019,171
12018,171
88025,234
88024,234
12015,171
12014,171
12017,171
12016,171
12011,171
12010,171
12013,171
12012,171
17258,170
17259,170
22742,158
17250,170
17251,170
17252,170
17253,170
17254,170
17255,170
17256,170
17257,170
63024,3
63025,3
63026,3
63027,3
63020,3
63021,3
63022,3
63023,3
95797,227
95796,227
95795,227
95794,227
63028,3
63029,3
95791,227
95790,227
22743,158
49569,86
49568,86
49565,86
49564,86
49567,86
49566,86
49561,86
49560,86
49563,86
49562,86
80272,235
80273,235
44799,96
62368,175
62369,8
90310,228
62360,9
90312,228
90313,228
90314,228
90315,228
90316,228
62361,9
90318,228
90319,228
99606,227
13058,171
13059,171
13052,171
13053,171
13050,171
13051,171
13056,171
13057,171
13054,171
13055,171
L5331,243
G0425,227
20250,159
C9708,237
40966,33
40967,33
40964,33
40965,33
40962,33
40963,33
40960,33
40961,33
29765,214
29764,214
29767,214
29766,214
29761,214
29760,214
40968,33
40969,33
97023,213
1172,232
23509,148
23508,148
23507,148
23506,148
23505,148
23504,148
23503,148
23502,148
23501,148
23500,148
27619,160
27618,170
27615,160
27613,159
27612,150
27610,162
97022,213
59038,139
59039,139
59032,139
59033,139
59030,139
59031,139
59036,139
59037,139
59034,139
59035,139
B4155,223
B4154,223
B4157,223
B4156,223
B4151,223
B4150,223
B4153,223
B4152,223
B4159,223
B4158,223
621,232
65888,20
65889,20
12831,171
12830,171
12837,171
12836,171
12835,171
12834,171
65880,20
65881,20
65882,20
65883,20
65884,20
65885,20
65886,20
65887,20
92262,220
92263,220
92260,220
92261,220
92266,220
92267,220
92264,220
92265,220
V5264,242
V5265,242
92268,220
92269,220
V5260,242
V5261,242
V5262,242
V5263,242
66504,20
66505,20
66506,20
66507,20
66500,20
66501,20
66502,20
66503,20
50413,112
50412,112
50411,112
50410,112
66508,20
66509,20
50415,112
50414,112
55629,118
55628,118
55623,118
55622,118
55621,118
55620,118
55627,118
55626,118
55625,118
55624,118
L0980,243
L0982,243
L0984,243
66124,20
22678,158
22679,158
22676,158
22677,158
22674,158
66125,20
22672,158
22673,158
22670,158
22671,158
26566,161
26567,161
26565,161
26560,175
26561,175
0051T,49
Q2019,240
15553,172
65265,20
15552,172
15559,172
L2580,243
15558,172
32224,42
32225,42
32226,42
32227,42
32220,42
32221,42
32222,42
32223,42
93135,202
93134,202
93137,202
93136,202
32228,42
32229,42
93133,202
93132,202
H0009,219
H0008,219
H0005,219
H0004,219
H0007,219
H0006,219
H0001,219
H0003,219
H0002,219
78247,209
52103,100
52102,100
52101,100
