From_CPT,To_CPT,Probability
F_After1972_95908,F_After1972_99213,0.5
F_After1972_95908,F_After1972_90834,0.5
M_After1972_87660,M_After1972_87510,1.0
F_After1972_95900,F_After1972_95860,1.0
F_After1972_95907,F_After1972_99203,1.0
F_After1972_95904,F_After1972_95900,1.0
M_After1972_82055,M_After1972_81001,0.16666666666666666
M_After1972_82055,M_After1972_83805,0.3333333333333333
M_After1972_82055,M_After1972_82646,0.3333333333333333
M_After1972_82055,M_After1972_82055Rx,0.16666666666666666
F_Before1972_D0140,F_Before1972_D4910,0.07692307692307693
F_Before1972_D0140,F_Before1972_D0330,0.07692307692307693
F_Before1972_D0140,F_Before1972_D9221,0.07692307692307693
F_Before1972_D0140,END_STATE,0.15384615384615385
F_Before1972_D0140,F_Before1972_D7140,0.07692307692307693
F_Before1972_D0140,F_Before1972_D6750,0.07692307692307693
F_Before1972_D0140,F_Before1972_D0220,0.3076923076923077
F_Before1972_D0140,F_Before1972_D2750,0.07692307692307693
F_Before1972_D0140,F_Before1972_D1110,0.07692307692307693
F_Before1972_99199Rx,F_Before1972_99213,0.05
F_Before1972_99199Rx,F_Before1972_99199Rx,0.75
F_Before1972_99199Rx,F_Before1972_Y3060,0.05
F_Before1972_99199Rx,F_Before1972_Y3010,0.05
F_Before1972_99199Rx,F_Before1972_90791,0.05
F_Before1972_99199Rx,F_After1972_99396,0.05
F_Before1972_11301,F_Before1972_11300,1.0
F_Before1972_11300,F_Before1972_88305,0.5
F_Before1972_11300,F_Before1972_88304,0.5
F_After1972_D4341,F_After1972_D0210,0.027777777777777776
F_After1972_D4341,F_After1972_D3310,0.027777777777777776
F_After1972_D4341,F_After1972_D2952,0.027777777777777776
F_After1972_D4341,F_After1972_D0230,0.027777777777777776
F_After1972_D4341,F_After1972_D7140,0.027777777777777776
F_After1972_D4341,F_After1972_D2335,0.027777777777777776
F_After1972_D4341,F_After1972_D0120,0.027777777777777776
F_After1972_D4341,F_After1972_D4341,0.6388888888888888
F_After1972_D4341,F_After1972_D2393,0.027777777777777776
F_After1972_D4341,END_STATE,0.027777777777777776
F_After1972_D4341,F_After1972_D1204,0.027777777777777776
F_After1972_D4341,F_After1972_D9610,0.05555555555555555
F_After1972_D4341,F_After1972_D4910,0.027777777777777776
M_Before1972_87070,M_Before1972_87205,0.18181818181818182
M_Before1972_87070,M_Before1972_36416,0.09090909090909091
M_Before1972_87070,M_Before1972_87591,0.09090909090909091
M_Before1972_87070,M_Before1972_3008F,0.09090909090909091
M_Before1972_87070,M_Before1972_99214,0.09090909090909091
M_Before1972_87070,M_Before1972_74176,0.09090909090909091
M_Before1972_87070,M_Before1972_99213,0.09090909090909091
M_Before1972_87070,M_Before1972_70450,0.09090909090909091
M_Before1972_87070,M_Before1972_87070Rx,0.18181818181818182
M_Before1972_87077,M_Before1972_99214,0.5
M_Before1972_87077,M_Before1972_99213,0.5
M_Before1972_87075,M_Before1972_81001,1.0
