From_CPT,To_CPT,Probability
Under60_LA70,END_STATE,1.0
Under60_FL198,Under60_FL198,0.043010752688172046
Under60_FL198,END_STATE,0.7741935483870968
Under60_FL198,Under60_FL180,0.010752688172043012
Under60_FL198,Under60_FL212,0.010752688172043012
Under60_FL198,Under60_FL231,0.021505376344086023
Under60_FL198,Under60_FL227,0.06451612903225806
Under60_FL198,Under60_FL243,0.07526881720430108
Under60_FL199,END_STATE,0.9375
Under60_FL199,Under60_FL199,0.0625
Under60_MA70,Under60_MA70,0.18518518518518517
Under60_MA70,Under60_MA77,0.07407407407407407
Under60_MA70,Under60_MA206,0.037037037037037035
Under60_MA70,END_STATE,0.6296296296296297
Under60_MA70,Under60_MA234,0.037037037037037035
Under60_MA70,Under60_MA232,0.037037037037037035
Under60_MA76,END_STATE,0.8461538461538461
Under60_MA76,Under60_MA234,0.07692307692307693
Under60_MA76,Under60_MA232,0.019230769230769232
Under60_MA76,Under60_MA240,0.038461538461538464
Under60_MA76,Under60_MA227,0.019230769230769232
Under60_MA77,END_STATE,0.8
Under60_MA77,Under60_MA218,0.1
Under60_MA77,Under60_MA95,0.1
Under30_NH8,END_STATE,1.0
Under60_FL192,END_STATE,0.7777777777777778
Under60_FL192,Under60_FL227,0.2222222222222222
Under60_FL193,END_STATE,0.8157894736842105
Under60_FL193,Under60_FL202,0.02631578947368421
Under60_FL193,Under60_FL243,0.02631578947368421
Under60_FL193,Under60_FL233,0.02631578947368421
Under60_FL193,Under60_FL193,0.10526315789473684
Under30_VA206,Under30_VA206,0.13636363636363635
Under30_VA206,Under30_VA235,0.006493506493506494
Under30_VA206,Under30_VA227,0.11363636363636363
Under30_VA206,Under30_VA237,0.00974025974025974
Under30_VA206,Under30_VA231,0.006493506493506494
Under30_VA206,Under30_VA233,0.09090909090909091
Under30_VA206,Under30_VA234,0.01948051948051948
Under30_VA206,END_STATE,0.6168831168831169
Under30_VA207,END_STATE,1.0
Under30_VA200,Under30_VA206,0.029411764705882353
Under30_VA200,Under30_VA197,0.00980392156862745
Under30_VA200,Under30_VA227,0.08823529411764706
Under30_VA200,Under30_VA237,0.00980392156862745
Under30_VA200,Under30_VA231,0.14705882352941177
Under30_VA200,Under30_VA220,0.0196078431372549
Under30_VA200,END_STATE,0.696078431372549
Under30_VA201,END_STATE,1.0
Under30_VA202,END_STATE,0.9454545454545454
Under30_VA202,Under30_VA240,0.05454545454545454
Under30_VA203,END_STATE,0.4117647058823529
Under30_VA203,Under30_VA227,0.17647058823529413
Under30_VA203,Under30_VA199,0.4117647058823529
Under30_VA208,END_STATE,1.0
Under30_VA209,Under30_VA227,1.0
Under60_CO240,Under60_CO202,0.032520325203252036
Under60_CO240,Under60_CO231,0.08943089430894309
Under60_CO240,END_STATE,0.6097560975609756
Under60_CO240,Under60_CO233,0.016260162601626018
Under60_CO240,Under60_CO240,0.056910569105691054
Under60_CO240,Under60_CO227,0.08130081300813008
Under60_CO240,Under60_CO237,0.016260162601626018
Under60_CO240,Under60_CO236,0.06504065040650407
Under60_CO240,Under60_CO239,0.008130081300813009
Under60_CO240,Under60_CO163,0.008130081300813009
Under60_CO240,Under60_CO170,0.016260162601626018
Under60_ME155,END_STATE,1.0
Under60_CO243,Under60_CO232,0.007142857142857143
Under60_CO243,Under60_CO240,0.007142857142857143
Under60_CO243,Under60_CO237,0.014285714285714285
Under60_CO243,Under60_CO243,0.19285714285714287
Under60_CO243,END_STATE,0.75
Under60_CO243,Under60_CO226,0.02857142857142857
Under60_AL54,END_STATE,1.0
Under60_MD203,END_STATE,0.7
Under60_MD203,Under60_MD203,0.3
Under60_MD202,Under60_MD202,0.021052631578947368
Under60_MD202,Under60_MD227,0.021052631578947368
Under60_MD202,Under60_MD200,0.010526315789473684
Under60_MD202,Under60_MD233,0.031578947368421054
Under60_MD202,Under60_MD235,0.010526315789473684
Under60_MD202,END_STATE,0.9052631578947369
Under60_MD201,Under60_MD7,0.4
Under60_MD201,Under60_MD209,0.4
Under60_MD201,Under60_MD233,0.2
Under60_MD200,Under60_MD237,0.011494252873563218
Under60_MD200,Under60_MD227,0.16091954022988506
Under60_MD200,Under60_MD206,0.034482758620689655
Under60_MD200,Under60_MD231,0.011494252873563218
Under60_MD200,END_STATE,0.632183908045977
Under60_MD200,Under60_MD233,0.14942528735632185
Under60_MD206,Under60_MD237,0.016913319238900635
Under60_MD206,Under60_MD227,0.13953488372093023
Under60_MD206,Under60_MD226,0.0021141649048625794
Under60_MD206,Under60_MD200,0.0021141649048625794
Under60_MD206,Under60_MD233,0.10993657505285412
Under60_MD206,Under60_MD231,0.004228329809725159
Under60_MD206,Under60_MD234,0.019027484143763214
Under60_MD206,Under60_MD228,0.004228329809725159
Under60_MD206,Under60_MD235,0.040169133192389
Under60_MD206,END_STATE,0.5010570824524313
Under60_MD206,Under60_MD206,0.160676532769556
Under30_NH7,END_STATE,0.7272727272727273
Under30_NH7,Under30_NH7,0.19696969696969696
Under30_NH7,Under30_NH234,0.030303030303030304
Under30_NH7,Under30_NH227,0.045454545454545456
Under60_MD209,END_STATE,1.0
Under30_MI168,Under30_MI237,0.0017421602787456446
Under30_MI168,Under30_MI228,0.003484320557491289
Under30_MI168,Under30_MI168,0.05574912891986063
Under30_MI168,Under30_MI227,0.04529616724738676
Under30_MI168,Under30_MI233,0.0017421602787456446
Under30_MI168,END_STATE,0.8780487804878049
Under30_MI168,Under30_MI170,0.005226480836236934
Under30_MI168,Under30_MI231,0.005226480836236934
Under30_MI168,Under30_MI174,0.0017421602787456446
Under30_MI168,Under30_MI234,0.0017421602787456446
Under30_MI169,END_STATE,0.8936170212765957
Under30_MI169,Under30_MI227,0.10638297872340426
Over60_WY198,END_STATE,0.6666666666666666
Over60_WY198,Over60_WY179,0.1111111111111111
Over60_WY198,Over60_WY227,0.2222222222222222
Under30_MI162,Under30_MI243,0.006289308176100629
Under30_MI162,END_STATE,0.41509433962264153
Under30_MI162,Under30_MI146,0.11949685534591195
Under30_MI162,Under30_MI162,0.41509433962264153
Under30_MI162,Under30_MI161,0.006289308176100629
Under30_MI162,Under30_MI226,0.03773584905660377
Under30_MI163,Under30_MI234,8.192692118630181e-05
Under30_MI163,Under30_MI170,0.00024578076355890547
Under30_MI163,Under30_MI228,8.192692118630181e-05
Under30_MI163,Under30_MI206,8.192692118630181e-05
Under30_MI163,Under30_MI212,0.0004915615271178109
Under30_MI163,Under30_MI213,0.029903326233000165
Under30_MI163,Under30_MI214,0.05136817958381124
Under30_MI163,Under30_MI202,8.192692118630181e-05
Under30_MI163,Under30_MI163,0.15369490414550221
Under30_MI163,END_STATE,0.7561854825495657
Under30_MI163,Under30_MI233,0.00032770768474520726
Under30_MI163,Under30_MI231,8.192692118630181e-05
Under30_MI163,Under30_MI227,0.0039324922169424875
Under30_MI163,Under30_MI226,0.0034409306898246766
Under30_MI160,END_STATE,0.8295454545454546
Under30_MI160,Under30_MI160,0.11363636363636363
Under30_MI160,Under30_MI161,0.022727272727272728
Under30_MI160,Under30_MI214,0.022727272727272728
