From_CPT,To_CPT,Probability
Before1972_J2250Rx,Before1972_J2250Rx,0.5
Before1972_J2250Rx,Before1972_99214,0.5
After1972_86301Rx,After1972_95117,1.0
After1972_4035F,After1972_99071,1.0
Before1972_99223,Before1972_99233,0.1
Before1972_99223,Before1972_74177,0.1
Before1972_99223,Before1972_MISC,0.1
Before1972_99223,Before1972_99231,0.1
Before1972_99223,Before1972_99232,0.1
Before1972_99223,Before1972_Y2500,0.1
Before1972_99223,Before1972_70450,0.1
Before1972_99223,Before1972_93010,0.1
Before1972_99223,Before1972_Y6110,0.1
Before1972_99223,Before1972_96116,0.1
Before1972_99222,Before1972_99238,0.07142857142857142
Before1972_99222,Before1972_U300,0.07142857142857142
Before1972_99222,Before1972_Y9000,0.07142857142857142
Before1972_99222,Before1972_93970,0.07142857142857142
Before1972_99222,Before1972_99232,0.35714285714285715
Before1972_99222,Before1972_99213,0.07142857142857142
Before1972_99222,Before1972_Y3700,0.07142857142857142
Before1972_99222,Before1972_71010,0.07142857142857142
Before1972_99222,Before1972_00840,0.07142857142857142
Before1972_99222,Before1972_88307,0.07142857142857142
Before1972_99221,Before1972_99231,0.3333333333333333
Before1972_99221,Before1972_99285,0.3333333333333333
Before1972_99221,Before1972_735648,0.3333333333333333
Before1972_99220,Before1972_99217,0.2
Before1972_99220,Before1972_Y2500,0.2
Before1972_99220,Before1972_93005,0.2
Before1972_99220,Before1972_93010,0.2
Before1972_99220,Before1972_J3475,0.2
After1972_90734,After1972_86580,0.022222222222222223
After1972_90734,After1972_90649,0.06666666666666667
After1972_90734,After1972_90734Rx,0.06666666666666667
After1972_90734,After1972_90633,0.022222222222222223
After1972_90734,After1972_90472,0.044444444444444446
After1972_90734,After1972_21085,0.022222222222222223
After1972_90734,After1972_90715,0.2
After1972_90734,After1972_99393,0.022222222222222223
After1972_90734,After1972_90672,0.022222222222222223
After1972_90734,After1972_90460,0.13333333333333333
After1972_90734,After1972_92081,0.022222222222222223
After1972_90734,After1972_90471,0.08888888888888889
After1972_90734,After1972_92551,0.044444444444444446
After1972_90734,After1972_99395,0.044444444444444446
After1972_90734,After1972_99394,0.044444444444444446
After1972_90734,After1972_90686,0.022222222222222223
After1972_90734,After1972_99384,0.022222222222222223
After1972_90734,After1972_90716,0.022222222222222223
After1972_90734,After1972_99212,0.022222222222222223
After1972_90734,After1972_90461,0.022222222222222223
After1972_90734,After1972_96110,0.022222222222222223
After1972_80047,After1972_85025,0.3333333333333333
After1972_80047,After1972_36415,0.6666666666666666
After1972_90732,After1972_93000,0.14285714285714285
After1972_90732,After1972_94760,0.14285714285714285
After1972_90732,After1972_71020,0.14285714285714285
After1972_90732,After1972_90834,0.14285714285714285
After1972_90732,After1972_90471,0.14285714285714285
After1972_90732,After1972_90472,0.2857142857142857
After1972_90733,After1972_90715,1.0
After1972_0310,After1972_0361,0.5
After1972_0310,After1972_0312,0.5
After1972_0311,After1972_8830526,1.0
After1972_0312,After1972_57522,0.5
After1972_0312,After1972_0306,0.5
Before1972_82747,Before1972_80053,0.5
Before1972_82747,Before1972_82607,0.5
Before1972_737008,Before1972_737008,0.5
Before1972_737008,Before1972_70000,0.5
After1972_Y9210,After1972_Y7300,0.2
After1972_Y9210,After1972_Y3000,0.2
After1972_Y9210,After1972_Y4020,0.2
After1972_Y9210,After1972_Y3050,0.2
After1972_Y9210,After1972_Y3200,0.2
After1972_81000Rx,After1972_90660,0.07692307692307693
After1972_81000Rx,After1972_87088,0.07692307692307693
After1972_81000Rx,After1972_81000Rx,0.6923076923076923
After1972_81000Rx,After1972_95117,0.07692307692307693
After1972_81000Rx,After1972_92012,0.07692307692307693
Before1972_73000,Before1972_73000,0.3333333333333333
Before1972_73000,Before1972_73000Rx,0.6666666666666666
Before1972_712758,Before1972_99232,1.0
After1972_A9561,After1972_78315,1.0
After1972_U450,After1972_U250,0.05
After1972_U450,After1972_U450,0.05
After1972_U450,After1972_U258,0.05
After1972_U450,After1972_J2001,0.05
After1972_U450,After1972_U636,0.15
After1972_U450,After1972_36415,0.05
After1972_U450,After1972_U352,0.05
After1972_U450,After1972_U450Rx,0.1
After1972_U450,After1972_U981,0.2
After1972_U450,After1972_U320,0.05
After1972_U450,After1972_U260,0.1
After1972_U450,After1972_99283,0.05
After1972_U450,After1972_70553,0.05
Before1972_J1030Rx,Before1972_J1030Rx,0.6666666666666666
