From_CPT,To_CPT,Probability
F_86703,F_86803,0.07692307692307693
F_86703,F_84702,0.07692307692307693
F_86703,F_85025,0.15384615384615385
F_86703,F_86850,0.07692307692307693
F_86703,F_81002,0.07692307692307693
F_86703,F_99213,0.07692307692307693
F_86703,F_86592,0.07692307692307693
F_86703,F_36415,0.15384615384615385
F_86703,F_95115,0.07692307692307693
F_86703,F_86901,0.07692307692307693
F_86703,F_82670,0.07692307692307693
M_Y4030,M_76645,0.022727272727272728
M_Y4030,M_Y4030,0.4772727272727273
M_Y4030,M_36415,0.022727272727272728
M_Y4030,M_88305,0.022727272727272728
M_Y4030,M_G0202,0.13636363636363635
M_Y4030,M_99214,0.045454545454545456
M_Y4030,M_99213,0.045454545454545456
M_Y4030,M_G0206,0.022727272727272728
M_Y4030,M_Y4030Rx,0.06818181818181818
M_Y4030,M_86580,0.022727272727272728
M_Y4030,M_77052,0.022727272727272728
M_Y4030,M_3341F,0.022727272727272728
M_Y4030,M_Y3000,0.022727272727272728
M_Y4030,M_Y3010,0.022727272727272728
M_Y4030,M_81003,0.022727272727272728
F_93660,F_99214,0.5
F_93660,F_U272,0.5
F_86704,F_82784,0.25
F_86704,F_99213,0.25
F_86704,F_85610,0.25
F_86704,F_87340,0.25
F_U612,F_72148,1.0
F_86708,F_87340,0.5
F_86708,F_80076,0.5
M_J3301,M_73630,0.08333333333333333
M_J3301,M_A4465,0.08333333333333333
M_J3301,M_20610,0.16666666666666666
M_J3301,M_11901,0.08333333333333333
M_J3301,M_99201,0.08333333333333333
M_J3301,M_99213,0.08333333333333333
M_J3301,M_99203,0.08333333333333333
M_J3301,M_73562,0.08333333333333333
M_J3301,M_MS,0.08333333333333333
M_J3301,M_99212,0.08333333333333333
M_J3301,M_20550,0.08333333333333333
F_770518,F_G02068,1.0
F_28400,F_73610,1.0
M_40810,M_99213,1.0
M_82726,M_82507,0.5
M_82726,M_86332,0.5
M_D9230,M_D2393,0.3333333333333333
M_D9230,M_D2392,0.3333333333333333
M_D9230,M_D0272,0.3333333333333333
M_92065,M_G0145,0.023809523809523808
M_92065,M_98941,0.07142857142857142
M_92065,M_98940,0.023809523809523808
M_92065,M_99284,0.023809523809523808
M_92065,M_99212,0.023809523809523808
M_92065,M_92014,0.023809523809523808
M_92065,M_92065Rx,0.09523809523809523
M_92065,M_97124,0.047619047619047616
M_92065,M_97140,0.09523809523809523
M_92065,M_92065,0.5714285714285714
F_90862,F_90862Rx,0.5294117647058824
F_90862,F_G0202,0.058823529411764705
F_90862,F_99213,0.29411764705882354
F_90862,F_99211,0.058823529411764705
F_90862,F_90862,0.058823529411764705
F_80061Rx,F_87070,0.014492753623188406
F_80061Rx,F_80076,0.014492753623188406
F_80061Rx,F_97140GP,0.014492753623188406
F_80061Rx,F_90471,0.014492753623188406
F_80061Rx,F_80061Rx,0.8840579710144928
F_80061Rx,F_99204,0.014492753623188406
F_80061Rx,F_99214,0.014492753623188406
F_80061Rx,END_STATE,0.014492753623188406
F_80061Rx,F_90862,0.014492753623188406
M_82728,M_84484,0.18181818181818182
M_82728,M_82746,0.09090909090909091
M_82728,M_77052,0.09090909090909091
M_82728,M_82533,0.09090909090909091
M_82728,M_86003,0.09090909090909091
M_82728,M_82728Rx,0.09090909090909091
M_82728,M_36415,0.09090909090909091
M_82728,M_80053,0.09090909090909091
M_82728,M_82306,0.09090909090909091
M_82728,M_85025,0.09090909090909091
F_R250,F_R121,1.0
F_Y9230Rx,F_Y9230Rx,0.8571428571428571
F_Y9230Rx,F_99051,0.07142857142857142
F_Y9230Rx,F_Y3000,0.07142857142857142
M_77059,M_77052,0.6666666666666666
M_77059,M_77059,0.3333333333333333
M_81050,M_82570,1.0
M_Y3200,M_99283,0.02040816326530612
M_Y3200,M_98941,0.02040816326530612
M_Y3200,M_70355,0.02040816326530612
M_Y3200,M_Y4010,0.02040816326530612
M_Y3200,M_Y2710,0.04081632653061224
M_Y3200,END_STATE,0.02040816326530612
M_Y3200,M_Y2580,0.02040816326530612
M_Y3200,M_Y2740,0.02040816326530612
M_Y3200,M_Y2500,0.04081632653061224
M_Y3200,M_73630,0.02040816326530612
M_Y3200,M_Y3200,0.14285714285714285
M_Y3200,M_99203,0.02040816326530612
M_Y3200,M_73110,0.02040816326530612
M_Y3200,M_73610,0.02040816326530612
M_Y3200,M_73590,0.02040816326530612
M_Y3200,M_72069,0.02040816326530612
M_Y3200,M_74740,0.02040816326530612
