From_CPT,To_CPT,Probability
D9241Rx,END_STATE,0.125
D9241Rx,D9241Rx,0.875
72069Rx,U300,0.07142857142857142
72069Rx,99203,0.03571428571428571
72069Rx,72069Rx,0.8928571428571429
90785Rx,90834,0.06666666666666667
90785Rx,90785Rx,0.7333333333333333
90785Rx,Y3000,0.06666666666666667
90785Rx,99214,0.06666666666666667
90785Rx,90472,0.06666666666666667
90715Rx,99204,0.047619047619047616
90715Rx,97140,0.047619047619047616
90715Rx,76830,0.047619047619047616
90715Rx,90715Rx,0.5714285714285714
90715Rx,99199,0.047619047619047616
90715Rx,99395,0.047619047619047616
90715Rx,END_STATE,0.047619047619047616
90715Rx,90715,0.047619047619047616
90715Rx,Y3110,0.047619047619047616
90715Rx,0300,0.047619047619047616
92134Rx,92136,0.5
92134Rx,92134Rx,0.5
Q4012,99203,1.0
J2405,J2060,0.030303030303030304
J2405,J0690,0.030303030303030304
J2405,J3490,0.030303030303030304
J2405,J2505,0.030303030303030304
J2405,88305,0.030303030303030304
J2405,96374,0.030303030303030304
J2405,96375,0.030303030303030304
J2405,96376,0.030303030303030304
J2405,76942,0.030303030303030304
J2405,00170,0.030303030303030304
J2405,82947,0.030303030303030304
J2405,U250,0.030303030303030304
J2405,U270,0.030303030303030304
J2405,J1885,0.030303030303030304
J2405,J3010,0.030303030303030304
J2405,J7040,0.09090909090909091
J2405,58558,0.030303030303030304
J2405,45380,0.030303030303030304
J2405,81025,0.030303030303030304
J2405,00810,0.030303030303030304
J2405,99283,0.030303030303030304
J2405,S0020,0.030303030303030304
J2405,99284,0.06060606060606061
J2405,S9351,0.06060606060606061
J2405,J2250,0.030303030303030304
J2405,84484,0.030303030303030304
J2405,96361,0.030303030303030304
J2405,J2765,0.030303030303030304
J2405,~,0.030303030303030304
86360,99214,1.0
81401,81479,0.5
81401,J3420,0.3
81401,81220,0.1
81401,81404,0.1
81404,91405,1.0
737218,70000,1.0
D2150Rx,D0120,0.1111111111111111
D2150Rx,D2150Rx,0.8888888888888888
96374,99050,0.05
96374,96375,0.2
96374,96376,0.05
96374,J7030,0.05
96374,85025,0.05
96374,96374Rx,0.05
96374,99285,0.05
96374,99284,0.05
96374,93880,0.05
96374,83690,0.05
96374,99000,0.05
96374,76705,0.05
96374,81001,0.1
96374,96361,0.05
96374,36415,0.05
96374,~,0.05
96375,96374,0.08
96375,74177,0.04
96375,96376,0.04
96375,J7030,0.04
96375,99214,0.04
96375,96521,0.04
96375,80048,0.08
96375,85730,0.04
96375,99284,0.08
96375,J2469,0.16
96375,J2405,0.04
96375,J0640,0.04
96375,J1453,0.08
96375,J9055,0.04
96375,96361,0.04
96375,96367,0.04
96375,96417,0.04
96375,96365,0.04
96376,74176,0.3333333333333333
96376,96375,0.3333333333333333
96376,81003,0.3333333333333333
96372,99212,0.015873015873015872
96372,99213,0.10052910052910052
96372,99211,0.005291005291005291
96372,88321,0.005291005291005291
96372,99214,0.05291005291005291
96372,99215,0.005291005291005291
96372,92507,0.005291005291005291
96372,84443,0.005291005291005291
96372,G0434,0.005291005291005291
96372,J2315,0.005291005291005291
96372,J2405,0.010582010582010581
96372,END_STATE,0.005291005291005291
96372,J1200,0.005291005291005291
96372,99394,0.037037037037037035
96372,J0696,0.021164021164021163
96372,90801,0.005291005291005291
96372,81002,0.015873015873015872
96372,J1080,0.07936507936507936
96372,J2505,0.042328042328042326
96372,11980,0.005291005291005291
96372,J2788,0.005291005291005291
96372,97530,0.005291005291005291
96372,97001,0.005291005291005291
96372,99204,0.005291005291005291
96372,J0558,0.005291005291005291
96372,96372,0.06349206349206349
96372,82570,0.005291005291005291
96372,98941,0.010582010582010581
96372,J1100,0.031746031746031744
96372,90734,0.005291005291005291
96372,S0189,0.005291005291005291
96372,J3301,0.005291005291005291
96372,J3420,0.031746031746031744
96372,81000,0.005291005291005291
96372,71020,0.010582010582010581
96372,Y2550,0.005291005291005291
96372,81025,0.005291005291005291
96372,J1040,0.010582010582010581
96372,93010,0.005291005291005291
96372,99051,0.005291005291005291
96372,99203,0.010582010582010581
96372,99202,0.005291005291005291
96372,J1885,0.015873015873015872
96372,J2550,0.010582010582010581
96372,96372Rx,0.164021164021164
96372,90791,0.005291005291005291
96372,A7037,0.005291005291005291
96372,86403,0.005291005291005291
96372,72148,0.005291005291005291
96372,J0702,0.010582010582010581
96372,S9088,0.010582010582010581
96372,82670,0.005291005291005291
96372,J1441,0.005291005291005291
96372,99283,0.010582010582010581
96372,88175,0.005291005291005291
96372,95910,0.005291005291005291
96372,45378,0.005291005291005291
96372,11900,0.005291005291005291
96372,J1050,0.010582010582010581
96372,J1055,0.010582010582010581
96372,98940,0.005291005291005291
96372,96360,0.005291005291005291
96372,90658,0.005291005291005291
96372,84703,0.005291005291005291
J3300,77003,0.75
J3300,99213,0.25
83891,86762,0.030303030303030304
83891,85385,0.09090909090909091
83891,83914,0.030303030303030304
83891,83912,0.12121212121212122
83891,83892,0.030303030303030304
83891,83891,0.2727272727272727
83891,83896,0.06060606060606061
83891,83698,0.18181818181818182
83891,83909,0.09090909090909091
83891,83891Rx,0.06060606060606061
83891,9920425,0.030303030303030304
83890,88321,1.0
84207,83921,0.3333333333333333
84207,84210,0.3333333333333333
84207,82607,0.3333333333333333
73080,99212,0.10344827586206896
73080,99213,0.10344827586206896
73080,99203,0.10344827586206896
73080,73080Rx,0.06896551724137931
73080,99238,0.034482758620689655
73080,99214,0.06896551724137931
73080,Q4018,0.034482758620689655
73080,J3010,0.034482758620689655
73080,99282,0.034482758620689655
73080,A4565,0.06896551724137931
73080,J2250,0.034482758620689655
73080,99202,0.034482758620689655
73080,L3760,0.034482758620689655
73080,43239,0.034482758620689655
73080,Y2600,0.034482758620689655
73080,73080,0.10344827586206896
73080,99000,0.034482758620689655
73080,73200,0.034482758620689655
99058Rx,99058Rx,0.75
99058Rx,99214,0.25
94200,94640,1.0
E0601Rx,99213,0.08333333333333333
E0601Rx,E0601Rx,0.3333333333333333
E0601Rx,99214,0.25
E0601Rx,E0601,0.16666666666666666
E0601Rx,45378,0.08333333333333333
E0601Rx,END_STATE,0.08333333333333333
D9110,D0140,1.0
D2335,D2335,0.4
D2335,END_STATE,0.2
D2335,D4341,0.2
D2335,D0272,0.2
D2331,D1208,0.1
D2331,D9940,0.1
D2331,D7140,0.1
D2331,D2331,0.3
D2331,D2394,0.1
D2331,END_STATE,0.1
D2331,D0210,0.1
D2331,D7210,0.1
D2330,D2393,0.038461538461538464
D2330,D0120,0.038461538461538464
D2330,END_STATE,0.11538461538461539
D2330,D7140,0.038461538461538464
D2330,D2330,0.19230769230769232
D2330,D2332,0.07692307692307693
D2330,D1510,0.038461538461538464
D2330,D2392,0.11538461538461539
D2330,D2391,0.07692307692307693
D2330,D0230,0.038461538461538464
D2330,D3120,0.038461538461538464
D2330,D2150,0.038461538461538464
D2330,D4341,0.038461538461538464
D2330,D1110,0.038461538461538464
D2330,D0274,0.038461538461538464
D2330,D1351,0.038461538461538464
D2332,D0120,0.13333333333333333
D2332,D2330,0.13333333333333333
D2332,D2332,0.4666666666666667
D2332,D2393,0.06666666666666667
D2332,D4342,0.13333333333333333
D2332,END_STATE,0.06666666666666667
84702Rx,99213,0.2
84702Rx,84702Rx,0.8
73060,73030,0.5
73060,98926,0.5
773018,773018Rx,1.0
96150,96152,0.3333333333333333
96150,11900,0.3333333333333333
96150,Y3010,0.3333333333333333
S5001,S5001,0.5
S5001,99213,0.25
S5001,Y4020,0.25
A7003Rx,A7003Rx,0.75
A7003Rx,86580,0.25
29880Rx,01400QK,1.0
86215,80050,1.0
83540,83036,0.020833333333333332
83540,84520,0.020833333333333332
83540,G0206,0.020833333333333332
83540,80048,0.020833333333333332
83540,81003,0.020833333333333332
83540,82728,0.08333333333333333
83540,81001,0.041666666666666664
83540,84153,0.020833333333333332
83540,83615,0.020833333333333332
83540,36415,0.14583333333333334
83540,80053,0.0625
83540,84436,0.020833333333333332
83540,86160,0.020833333333333332
83540,74177,0.020833333333333332
83540,80050,0.020833333333333332
83540,85025,0.0625
83540,82306,0.08333333333333333
83540,85027,0.020833333333333332
83540,84100,0.0625
83540,86140,0.020833333333333332
83540,85651,0.020833333333333332
83540,83704,0.020833333333333332
83540,84270,0.020833333333333332
83540,96367,0.020833333333333332
83540,83550,0.10416666666666667
84100,84132,0.09090909090909091
84100,82565,0.09090909090909091
84100,82306,0.030303030303030304
84100,82310,0.12121212121212122
84100,84550,0.18181818181818182
84100,81001,0.030303030303030304
84100,83001,0.030303030303030304
84100,83785,0.030303030303030304
84100,U762,0.030303030303030304
84100,99392,0.030303030303030304
84100,86376,0.030303030303030304
84100,83970,0.030303030303030304
84100,82330,0.030303030303030304
84100,83615,0.030303030303030304
84100,83540,0.030303030303030304
84100,36415,0.15151515151515152
84100,J1885,0.030303030303030304
A4595Rx,80299,0.2
A4595Rx,95117,0.6
A4595Rx,A4595Rx,0.2
U511,99213,0.2
U511,U511Rx,0.6
U511,82205,0.2
U510,99213,0.14285714285714285
U510,92014,0.14285714285714285
U510,U510Rx,0.14285714285714285
U510,99244,0.14285714285714285
U510,19000,0.2857142857142857
U510,84154,0.14285714285714285
J8499,89240,0.25
J8499,94640,0.5
J8499,90801,0.25
99999,99999,0.16666666666666666
99999,J3010,0.16666666666666666
99999,99213,0.16666666666666666
99999,54161,0.3333333333333333
99999,J2405,0.16666666666666666
94375Rx,99213,0.5
94375Rx,94375Rx,0.5
E0562RRx,E0562RRx,0.6153846153846154
E0562RRx,99203,0.07692307692307693
E0562RRx,MISC,0.23076923076923078
E0562RRx,99213,0.07692307692307693
U260,U250,0.13043478260869565
U260,U270,0.043478260869565216
U260,U260,0.43478260869565216
U260,U300,0.21739130434782608
U260,U305,0.043478260869565216
U260,U260Rx,0.043478260869565216
U260,U450,0.043478260869565216
U260,84484,0.043478260869565216
D2150,D2150,0.36363636363636365
D2150,D3220,0.06060606060606061
D2150,80048,0.030303030303030304
D2150,D2140,0.030303030303030304
D2150,D2330,0.09090909090909091
D2150,D2160,0.09090909090909091
D2150,D2391,0.030303030303030304
D2150,D1120,0.09090909090909091
D2150,D9230,0.06060606060606061
D2150,END_STATE,0.09090909090909091
D2150,D0150,0.06060606060606061
52000,99238,0.07142857142857142
52000,Y4900,0.07142857142857142
52000,52000Rx,0.07142857142857142
52000,99204,0.07142857142857142
52000,99213,0.07142857142857142
52000,58552,0.07142857142857142
52000,82570,0.07142857142857142
52000,74178,0.07142857142857142
